subcategory_id,category_id,en,bg,hr,cs,da,nl,et,fi,fr,de,el,hu,ga,it,lv,lt,mt,pl,pt,ro,sk,sl,es,sv,tr,ru,uk,nb,no,icon,sort_order_subcategory,__match_score
SUB_000000,CAT_00234,Visual Aid Tech Setup,Технологична настройка на визуална помощ,Tehnička postavka vizualne pomoći,Nastavení vizuální pomoci,Visual Aid Tech Setup,Visuele hulpmiddelen instellen,Visual Aid Tech Setup,Visual Aid Tech Setup,Configuration technique des aides visuelles,Visual Aid Tech Setup,Ρύθμιση τεχνολογίας οπτικού βοηθήματος,Visual Aid Tech Setup,Socrú Teicneolaíochta Amhairc,Configurazione della tecnologia di ausilio visivo,Vizuālās palīdzības tehniskā iestatīšana,Vizualinės pagalbos techninė sąranka,Setup tat-Teknoloġija tal-Għajnuna Viżwali,Konfiguracja pomocy wizualnej,Configuração de tecnologia de auxílio visual,Configurarea tehnologiei asistenței vizuale,Nastavenie technológie vizuálnej pomoci,Tehnična nastavitev vizualne pomoči,Configuración de tecnología de ayuda visual,Visual Aid Tech Setup,Görsel Yardım Teknik Kurulumu,Настройка визуальной помощи,Технічне налаштування наочної допомоги,Visual Aid Tech Setup,Visual Aid Tech Setup,,,0.5789473684210527
SUB_000001,CAT_00620,Sign Language Interpreter,Преводач на жестомимичен език,Tumač znakovnog jezika,Tlumočník znakového jazyka,Tegnsprogstolk,Gebarentaaltolk,Viipekeele tõlk,Viittomakielen tulkki,interprète en langue des signes,Gebärdensprachdolmetscher,Διερμηνέας Νοηματικής Γλώσσας,Jelnyelvi tolmács,Ateangaire Teanga Chomharthaíochta,Interprete della lingua dei segni,Zīmju valodas tulks,Gestų kalbos vertėjas,Interpretu tal-Lingwa tas-Sinjali,Tłumacz języka migowego,Intérprete de Língua Gestual,Interpret în limbajul semnelor,Tlmočník posunkovej reči,Tolmač znakovnega jezika,Intérprete de lenguaje de señas,Teckenspråkstolk,İşaret Dili Tercümanı,Переводчик жестового языка,Перекладач жестової мови,Tegnspråktolk,Tegnspråktolk,,,0.5714285714285714
SUB_000002,CAT_00047,Expedition Planning,Планиране на експедиция,Planiranje ekspedicije,Plánování expedice,Ekspeditionsplanlægning,Expeditieplanning,Ekspeditsiooni planeerimine,Retkikunnan suunnittelu,Planification d'expédition,Expeditionsplanung,Σχεδιασμός αποστολής,Expedíció tervezése,Pleanáil Turais,Pianificazione della spedizione,Ekspedīcijas plānošana,Ekspedicijos planavimas,Ippjanar ta' Spedizzjoni,Planowanie wyprawy,Planejamento de Expedição,Planificarea expediției,Plánovanie expedície,Načrtovanje odprave,Planificación de expediciones,Expeditionsplanering,Sefer Planlaması,Планирование экспедиции,Планування експедиції,Ekspedisjonsplanlegging,Ekspedisjonsplanlegging,,,0.7272727272727273
SUB_000003,CAT_00022,Remote Area Support,Поддръжка на отдалечена зона,Podrška za udaljeno područje,Podpora vzdálené oblasti,Fjernområdestøtte,Ondersteuning voor afgelegen gebieden,Kaugpiirkonna tugi,Etäalueen tuki,Assistance en zone éloignée,Unterstützung für abgelegene Gebiete,Υποστήριξη απομακρυσμένης περιοχής,Távoli terület támogatása,Tacaíocht Cheantair Iargúlta,Supporto per aree remote,Attālā apgabala atbalsts,Nuotolinės zonos palaikymas,Appoġġ għal Żona Remota,Wsparcie zdalne,Suporte de área remota,Suport pentru zonă la distanță,Podpora vzdialenej oblasti,Podpora za oddaljeno območje,Soporte de área remota,Fjärrområdesstöd,Uzak Alan Desteği,Поддержка удаленных районов,Віддалена підтримка,Eksternt områdestøtte,Eksternt områdestøtte,,,0.7027027027027027
SUB_000004,CAT_00239,Survival Skills,Умения за оцеляване,Vještine preživljavanja,Dovednosti přežití,Overlevelsesfærdigheder,Overlevingsvaardigheden,Ellujäämisoskused,Selviytymistaidot,Compétences de survie,Überlebensfähigkeiten,Δεξιότητες επιβίωσης,Túlélési készségek,Scileanna Marthanais,Abilità di sopravvivenza,Izdzīvošanas prasmes,Išgyvenimo įgūdžiai,Ħiliet ta' Sopravivenza,Umiejętności przetrwania,Habilidades de sobrevivência,Abilități de supraviețuire,Zručnosti prežitia,Spretnosti preživetja,Habilidades de supervivencia,Överlevnadsförmåga,Hayatta Kalma Becerileri,Навыки выживания,Навички виживання,Overlevelsesferdigheter,Overlevelsesferdigheter,,,0.6153846153846154
SUB_000005,CAT_00572,CubeSat Deployment Advisor,Съветник за внедряване на CubeSat,CubeSat savjetnik za implementaciju,Poradce pro nasazení CubeSat,CubeSat Deployment Advisor,CubeSat-implementatieadviseur,CubeSati juurutusnõustaja,CubeSatin käyttöönottoneuvoja,Conseiller en déploiement CubeSat,CubeSat-Bereitstellungsberater,CubeSat Deployment Advisor,CubeSat telepítési tanácsadó,Comhairleoir Imscartha CubeSat,Consulente per la distribuzione di CubeSat,CubeSat izvietošanas padomnieks,CubeSat diegimo patarėjas,Konsulent għall-Iskjerament ta' CubeSat,Doradca ds. wdrażania CubeSat,Consultor de implantação de CubeSat,Consilier de implementare CubeSat,CubeSat Deployment Advisor,Svetovalec za uvedbo CubeSat,Asesor de implementación de CubeSat,CubeSat Deployment Advisor,CubeSat Dağıtım Danışmanı,Консультант по развертыванию CubeSat,Радник із розгортання CubeSat,CubeSat Deployment Advisor,CubeSat Deployment Advisor,,,0.5116279069767442
SUB_000006,CAT_00706,Amateur Rocketry Trainer,Любителски ракетен треньор,Amaterski trener raketarstva,Amatérský trenér raketové techniky,Amatør rakettræner,Amateur Rakettrainer,Amatööride raketitreener,Amatööri rakettikouluttaja,Entraîneur amateur de fusées,Amateur-Raketentrainer,Ερασιτέχνης εκπαιδευτής πυραύλων,Amatőr rakéta edző,Oiliúnóir do roicéad amaitéarach,Allenatore di missilistica amatoriale,Amatieru raķešu treneris,Mėgėjų raketų treneris,Trainer dilettanti ta' Rocketry,Trener amatorskiej techniki rakietowej,Instrutor de Foguetes Amadores,Antrenor amator de rachete,Amatérsky raketový tréner,Amaterski trener rakete,Entrenador de cohetería amateur,Amatör raketstränare,Amatör Roketçilik Eğitmeni,Тренажер для любителей ракетной техники,Любительський ракетний тренер,Amatør raketttrener,Amatør raketttrener,,,0.5128205128205128
SUB_000007,CAT_00439,Drone Scouting,Скаутинг с дрон,Izviđanje dronovima,Průzkum dronů,Dronespejder,Drone-scouting,Droonide skautlus,Drone Partio,Reconnaissance par drone,Drohnen-Scouting,Προσκοπισμός Drone,Drón cserkészet,Gasóga Drone,Esplorazione con i droni,Dronu skauts,Dronų žvalgyba,Drone Scouting,Zwiad dronem,Drone Scouting,Cercetare cu drone,Prieskum dronov,Skavtstvo z droni,Exploración con drones,Drönarscouting,Drone Keşfi,Разведка с помощью дронов,Безпілотний скаутинг,Dronespeider,Dronespeider,,,0.6153846153846154
SUB_000008,CAT_00173,Precision Irrigation,Прецизно напояване,Precizno navodnjavanje,Přesné zavlažování,Præcisionsvanding,Precisie-irrigatie,Täpne niisutamine,Tarkkuuskastelu,Irrigation de précision,Präzisionsbewässerung,Άρδευση Ακριβείας,Precíziós öntözés,Uisciúcháin beachtais,Irrigazione di precisione,Precīza apūdeņošana,Tikslus drėkinimas,Irrigazzjoni ta 'preċiżjoni,Precyzyjne nawadnianie,Irrigação de Precisão,Irigare de precizie,Presné zavlažovanie,Natančno namakanje,Riego de precisión,Precisionsbevattning,Hassas Sulama,Точная ирригация,Точне зрошення,Presisjonsvanning,Presisjonsvanning,,,0.6451612903225806
SUB_000009,CAT_00606,Soil Analysis,Анализ на почвата,Analiza tla,Analýza půdy,Jordbundsanalyse,Bodemanalyse,Pinnase analüüs,Maaperän analyysi,Analyse du sol,Bodenanalyse,Ανάλυση Εδάφους,Talajelemzés,Anailís Ithir,Analisi del suolo,Augsnes analīze,Dirvožemio analizė,Analiżi tal-Ħamrija,Analiza gleby,Análise do solo,Analiza solului,Analýza pôdy,Analiza tal,Análisis de suelo,Markanalys,Toprak Analizi,Анализ почвы,Аналіз ґрунту,Jordanalyse,Jordanalyse,,,0.5714285714285714
SUB_000010,CAT_00493,Greenhouse,Оранжерия,Staklenik,Skleník,Drivhus,Kas,Kasvuhoone,Kasvihuone,Serre,Gewächshaus,Θερμοκήπιο,Üvegház,Cheaptha Teasa,Serra,Siltumnīca,Šiltnamis,Serra,Szklarnia,Estufa,Seră,skleník,Rastlinjak,Invernadero,Växthus,Sera,Теплица,Теплиця,Drivhus,Drivhus,,,0.6666666666666666
SUB_000011,CAT_00692,Row Crops,Редови култури,Redovi usjevi,Řádkové plodiny,Rækkeafgrøder,Rijgewassen,Rea põllukultuurid,Riviviljelyt,cultures en rangs,Reihenkulturen,Καλλιέργειες σειρών,Sornövények,Barraí Rae,Colture a filari,Rindu kultūras,Eilučių pasėliai,Uċuħ tar-ringiela,Uprawy rzędowe,Culturas em linha,Culturi pe rând,Riadkové plodiny,Vrtni posevki,Cultivos en hileras,Radgrödor,Sıra Bitkileri,Пропашные культуры,Пропашні культури,Radavlinger,Radavlinger,,,0.47058823529411764
SUB_000012,CAT_00156,Specialty Crops,Специални култури,Specijalni usjevi,Speciální plodiny,Specialafgrøder,Speciale gewassen,Spetsiaalsed põllukultuurid,Erikoisviljelykasvit,cultures spécialisées,Spezialkulturen,Ειδικές Καλλιέργειες,Speciális növények,Barraí Speisialtachta,Colture Speciali,Īpašas kultūras,Specialūs augalai,Uċuħ tar-raba' ta' speċjalità,Uprawy specjalistyczne,Culturas Especiais,Culturi de specialitate,Špeciálne plodiny,Posebni pridelki,Cultivos especiales,Specialgrödor,Özel Mahsuller,Специальные культуры,Спеціальні культури,Spesialavlinger,Spesialavlinger,,,0.75
SUB_000013,CAT_00048,Finance & Insurance,Финанси и застраховки,Financije i osiguranje,Finance a pojištění,Finans & Forsikring,Financiën en verzekeringen,Rahandus ja kindlustus,Rahoitus ja vakuutus,Finance et assurance,Finanzen & Versicherungen,Οικονομικών & Ασφαλίσεων,Pénzügy és biztosítás,Airgeadas & Árachas,Finanza e assicurazioni,Finanses un apdrošināšana,Finansai ir draudimas,Finanzi u Assigurazzjoni,Finanse i ubezpieczenia,Finanças e Seguros,Finanțe și asigurări,Financie a poistenie,Finance in zavarovanje,Finanzas y seguros,Finans & Försäkring,Finans ve Sigorta,Финансы и страхование,Фінанси та страхування,Finans og forsikring,Finans og forsikring,,,0.8
SUB_000014,CAT_00009,Labor Management,Управление на труда,Menadžment rada,Řízení práce,Arbejdsledelse,Arbeidsmanagement,Töökorraldus,Työvoiman hallinta,Gestion du travail,Arbeitsmanagement,Διαχείριση Εργασίας,Munkaügyi menedzsment,Bainistíocht Saothair,Gestione del lavoro,Darba vadība,Darbo valdymas,Tmexxija tax-Xogħol,Zarządzanie pracą,Gestão do Trabalho,Managementul Muncii,Manažment práce,Upravljanje dela,Gestión laboral,Arbetsledning,İşgücü Yönetimi,Управление трудом,Управління працею,Arbeidsledelse,Arbeidsledelse,,,0.8387096774193549
SUB_000015,CAT_00234,Supply Chain,Верига за доставки,Lanac opskrbe,Dodavatelský řetězec,Forsyningskæde,Toeleveringsketen,Tarneahel,Toimitusketju,Chaîne d'approvisionnement,Lieferkette,Εφοδιαστική Αλυσίδα,Ellátási lánc,Slabhra Soláthair,Catena di fornitura,Piegādes ķēde,Tiekimo grandinė,Katina tal-Provvista,Łańcuch dostaw,Cadeia de mantimentos,Lanț de aprovizionare,Dodávateľský reťazec,Dobavna veriga,Cadena de suministro,Supply Chain,Tedarik Zinciri,Цепочка поставок,Ланцюг поставок,Forsyningskjede,Forsyningskjede,,,0.8275862068965517
SUB_000016,CAT_00003,Diagnostics,Диагностика,Dijagnostika,Diagnostika,Diagnostik,Diagnostiek,Diagnostika,Diagnostiikka,Diagnostic,Diagnose,Διαγνωστικά,Diagnosztika,Diagnóisic,Diagnostica,Diagnostika,Diagnostika,Dijanjostiċi,Diagnostyka,Diagnóstico,Diagnosticare,Diagnostika,Diagnostika,Diagnóstico,Diagnostik,Tanı,Диагностика,діагностика,Diagnostikk,Diagnostikk,,,0.6
SUB_000017,CAT_00001,Nutrition Supplements,Хранителни добавки,Dodaci prehrani,Doplňky výživy,Kosttilskud,Voedingssupplementen,Toidulisandid,Ravintolisät,Compléments alimentaires,Nahrungsergänzungsmittel,Συμπληρώματα Διατροφής,Táplálékkiegészítők,Forlíonta Cothaithe,Integratori alimentari,Uztura bagātinātāji,Maisto papildai,Supplimenti tan-Nutrizzjoni,Suplementy diety,Suplementos Nutricionais,Suplimente nutritive,Výživové doplnky,Prehranska dopolnila,Suplementos nutricionales,Kosttillskott,Besin Takviyeleri,Пищевые добавки,Харчові добавки,Kosttilskudd,Kosttilskudd,,,0.5714285714285714
SUB_000018,CAT_00458,Vaccines,Ваксини,Cjepiva,Vakcíny,Vacciner,Vaccins,Vaktsiinid,Rokotteet,Vaccins,Impfungen,Εμβόλια,Védőoltások,Vacsaíní,Vaccini,Vakcīnas,Skiepai,Vaċċini,Szczepionki,Vacinas,Vaccinuri,Vakcíny,Cepiva,Vacunas,Vacciner,Aşılar,Вакцина,Вакцини,Vaksiner,Vaksiner,,,0.47619047619047616
SUB_000019,CAT_00493,Breeding,Развъждане,Rasplod,Chov,Avl,Fokken,Aretus,Kasvatus,Reproduction,Zucht,Ανατροφή,Tenyésztés,Pórú,Allevamento,Vaislas audzēšana,Veisimas,Tgħammir,Hodowla,Reprodução,Cresterea,Chov,Vzreja,Cría,Avel,Üreme,Разведение,Розведення,Oppdrett,Oppdrett,,,0.6153846153846154
SUB_000020,CAT_00670,Feed Management,Управление на фуражите,Upravljanje hranom,Správa krmiva,Foderstyring,Voerbeheer,Sööda juhtimine,Rehun hallinta,Gestion des flux,Feed-Management,Διαχείριση ζωοτροφών,Takarmánykezelés,Bainistíocht Beatha,Gestione dei feed,Barības pārvaldība,Pašarų valdymas,Ġestjoni tal-Għalf,Zarządzanie paszą,Gestão de alimentação,Managementul furajelor,Správa krmiva,Upravljanje krme,Gestión de feeds,Foderhantering,Yem Yönetimi,Управление кормами,Управління кормами,Fôrhåndtering,Fôrhåndtering,,,0.8387096774193549
SUB_000021,CAT_00156,Shelter,Подслон,sklonište,Přístřeší,Ly,Schuilplaats,Varjupaik,Suoja,Abri,Unterschlupf,Καταφύγιο,Menedék,Dídean,Riparo,Patvērums,Prieglauda,Kenn,Schronienie,Abrigo,Adăpost,Prístrešok,Zavetje,Refugio,Skydd,Barınak,Приют,Притулок,Ly,Ly,,,0.5
SUB_000022,CAT_00614,Emergency,Спешен случай,Hitna pomoć,Stav nouze,Nødsituation,Noodgeval,Hädaolukord,Hätä,Urgence,Notfall,Επείγον,Vészhelyzet,Éigeandála,Emergenza,Ārkārtas situācija,Avarinė padėtis,Emerġenza,Nagły wypadek,Emergência,Urgență,Pohotovosť,Nujna pomoč,Emergencia,Nödsituation,Acil durum,Чрезвычайная ситуация,Надзвичайна ситуація,Nødsituasjon,Nødsituasjon,,,0.782608695652174
