category_id,en,bg,hr,cs,da,nl,et,fi,fr,de,el,hu,ga,it,lv,lt,mt,pl,pt,ro,sk,sl,es,sv,tr,ru,uk,nb,no,icon,section_id,sort_order_category
CAT_00000,Assistive Tech,Помощни технологии,Pomoćna tehnika,Asistenční technika,Teknisk hjælpemiddel,Ondersteunende technologie,Abistav tehnika,Avustava tekniikka,Technologie d'assistance,Assistierende Technologie,Assistive Tech,Segédtechnika,Teicneolaíocht Chúnta,Tecnologia assistiva,Palīgtehnika,Pagalbinė technika,Assistive Tech,Technologia wspomagająca,Tecnologia Assistiva,Tehnologia de asistență,Asistenčná technika,Pomožna tehnika,Tecnología de asistencia,Hjälpmedelsteknik,Yardımcı Teknoloji,Вспомогательные технологии,Допоміжні технології,Assistive Tech,Assistive Tech,wrench.svg,SEC_0001,10
CAT_00002,Expeditions,Експедиции,Ekspedicije,Expedice,Ekspeditioner,Expedities,Ekspeditsioonid,Tutkimusmatkat,Expéditions,Expeditionen,Αποστολές,Expedíciók,Turais,Spedizioni,Ekspedīcijas,Ekspedicijos,Spedizzjonijiet,Wyprawy,Expedições,Expediții,Expedície,Odprave,Expediciones,Expeditioner,Seferler,Экспедиции,Експедиції,Ekspedisjoner,Ekspedisjoner,wrench.svg,SEC_0002,10
CAT_00005,Advisory,Консултативен,Savjetodavno,Poradní,Rådgivende,Advies,Nõuandev,neuvoa-antava,Consultatif,Hinweis,Συμβουλευτικός,Tanácsadó,Comhairleach,Consultivo,Konsultatīvs,Patariamoji,Konsultattiv,Doradczy,Consultivo,Consultativ,Poradný,Svetovalni,Consultivo,Rådgivande,Danışmanlık,Консультативный,консультативний,Rådgivende,Rådgivende,wrench.svg,SEC_0003,10
CAT_00007,AgroâTech,Агротехнически,AgroâTech,AgroâTech,AgroâTech,Agro-Tech,Agrotehnika,Agrotekniikka,Agro-Tech,Agro-Tech,AgroâTech,AgroâTech,AgroâTeic,Agro-Tech,Agrotehn,Agrotechn,AgroâTech,AgroâTech,Agro-Tech,AgroâTech,AgroâTech,AgroâTech,Agro-Tecnología,AgroâTech,Tarım Teknolojisi,АгроТех,Агротех,AgroâTech,AgroâTech,wrench.svg,SEC_0004,10
CAT_00010,Animal Health Products,Продукти за здравето на животните,Zdravstveni proizvodi za životinje,Produkty pro zdraví zvířat,Dyresundhedsprodukter,Diergezondheidsproducten,Loomatervishoiutooted,Eläinten terveystuotteet,Produits de santé animale,Tiergesundheitsprodukte,Προϊόντα για την υγεία των ζώων,Állategészségügyi termékek,Táirgí Sláinte Ainmhithe,Prodotti per la salute degli animali,Dzīvnieku veselības produkti,Gyvūnų sveikatos produktai,Prodotti tas-Saħħa tal-Annimali,Produkty dla zdrowia zwierząt,Produtos de Saúde Animal,Produse de sănătate animală,Produkty pre zdravie zvierat,Veterinarski izdelki,Productos para la salud animal,Djurhälsoprodukter,Hayvan Sağlığı Ürünleri,Товары для здоровья животных,Товари для здоров'я тварин,Dyrehelseprodukter,Dyrehelseprodukter,wrench.svg,SEC_0005,10
CAT_00013,Preservation,Запазване,Očuvanje,Zachování,Bevarelse,Behoud,Säilitamine,Säilytys,Préservation,Erhaltung,Διατήρηση,Megőrzés,Caomhnú,Conservazione,Saglabāšana,Konservavimas,Preservazzjoni,Ochrona,Preservação,Conservare,Zachovanie,Ohranjanje,Preservación,Bevarande,Koruma,Сохранение,збереження,Bevaring,Bevaring,wrench.svg,SEC_0006,10
CAT_00014,Community Arts,Обществени изкуства,Zajednička umjetnost,Komunitní umění,Samfundskunst,Gemeenschapskunst,Kogukonnakunst,Yhteisötaide,Arts communautaires,Gemeinschaftskunst,Κοινοτικές Τέχνες,Community Arts,Ealaíona Pobail,Arti comunitarie,Kopienas māksla,Bendruomenės menas,Arti tal-Komunità,Sztuka społeczna,Artes Comunitárias,Arte comunitare,komunitné umenie,Umetnost skupnosti,Artes comunitarias,Gemenskapskonst,Topluluk Sanatları,Общественное искусство,Громадське мистецтво,Samfunnskunst,Samfunnskunst,wrench.svg,SEC_0007,10
CAT_00017,Custom,По поръчка,Običaj,Zvyk,Skik,Aangepast,Kohandatud,Mukautettu,Coutume,Brauch,Εθιμο,Szokás,Saincheaptha,Costume,Pielāgots,Pasirinktinis,Custom,Zwyczaj,Personalizado,Personalizat,Vlastné,Po meri,Costumbre,Beställnings,Gelenek,Обычай,Custom,Skikk,Skikk,wrench.svg,SEC_0008,10
CAT_00018,Hair Services,Фризьорски услуги,Frizerske usluge,Kadeřnické služby,Hårservice,Haardiensten,Juuksuriteenused,Hiuspalvelut,Services capillaires,Haarservices,Υπηρεσίες μαλλιών,Fodrászat,Seirbhísí Gruaige,Servizi per capelli,Matu pakalpojumi,Plaukų paslaugos,Servizzi tax-xagħar,Usługi fryzjerskie,Serviços de cabelo,Servicii de coafură,Vlasové služby,Frizerske storitve,Servicios para el cabello,Hårtjänster,Saç Hizmetleri,Парикмахерские услуги,Перукарські послуги,Hårtjenester,Hårtjenester,hair.svg,SEC_0009,10
CAT_00019,Creator Support,Поддръжка на създател,Podrška za kreatore,Podpora pro tvůrce,Creator Support,Ondersteuning voor makers,Loojate tugi,Tekijän tuki,Assistance aux créateurs,Unterstützung für Entwickler,Υποστήριξη δημιουργών,Alkotói támogatás,Tacaíocht Cruthaitheoir,Supporto al creatore,Radītāju atbalsts,Kūrėjų palaikymas,Appoġġ għall-Ħallieq,Wsparcie dla twórców,Suporte ao criador,Asistență pentru creatori,Podpora pre tvorcov,Podpora ustvarjalcem,Apoyo a los creadores,Support för kreatörer,Yaratıcı Desteği,Поддержка создателей,Підтримка творців,Skaperstøtte,Skaperstøtte,wrench.svg,SEC_0010,10
