Industry,Service Category,Specialization
Accessibility Services,Assistive Tech,Visual Aid Tech Setup
Accessibility Services,Communication Support,Sign Language Interpreter
Adventure & Survival,Expeditions,Expedition Planning
Adventure & Survival,Logistics,Remote Area Support
Adventure & Survival,Training,Survival Skills
Adventure & Survival,Training,Survival Skills
Aerospace & Space,Advisory,CubeSat Deployment Advisor
Aerospace & Space,Advisory,CubeSat Deployment Advisor
Legal,Advisory,CubeSat Deployment Advisor
Legal,Advisory,CubeSat Deployment Advisor
Aerospace & Space,Education,Amateur Rocketry Trainer
Art & Culture,Preservation,Cultural Artifact Restorer
Arts & Culture,Community Arts,Cultural Event Curation
Arts & Culture,Cultural Arts,Indigenous Art Instruction
Arts & Culture,Cultural Arts,Indigenous Art Instruction
Arts & Culture,Heritage Preservation,Mural Restoration
Automotive,Custom,Mobile Tinting Service
Automotive,Custom,Mobile Tinting Service
Beauty,Hair Services,Cultural Hair Braider
Business,Creator Support,Subscription Page Designer
Business,Creator Support,Patreon Strategy Coach
Business,E-commerce Ops,Returns Manager
Business,Executive Support,Virtual Board Secretary
Business,Freelancer Support,Proposal Template Consultant
Business,Freelancer Support,Freelance Invoicing Assistant
Business,Online Sales,Livestream Sales Host
Business,Startup Compliance,Startup Compliance Officer
Business,Startup Support,MVP Prototyping Consultant
Business,Startup Support,Seed Pitch Video Editor
Business,Strategy,Business Pivot Consultant
Business & Commercial,3D Modeling & CAD,Product Mockups
Business Support,3D Modeling & CAD,Product Mockups
Business Support,3D Modeling & CAD,Product Mockups
Business Support,3D Modeling & CAD,Product Mockups
Civic Services,3D Modeling & CAD,Product Mockups
Civic Services,3D Modeling & CAD,Product Mockups
Civic Services,3D Modeling & CAD,Product Mockups
Construction & Repair,3D Modeling & CAD,Product Mockups
Construction & Repair,3D Modeling & CAD,Product Mockups
Cultural Services,3D Modeling & CAD,Product Mockups
Digital & Creative,3D Modeling & CAD,Product Mockups
Digital & Remote,3D Modeling & CAD,Product Mockups
Digital Security,3D Modeling & CAD,Product Mockups
Education & Learning,3D Modeling & CAD,Product Mockups
Education & Learning,3D Modeling & CAD,Product Mockups
Education & Tutoring,3D Modeling & CAD,Product Mockups
Electronics & Tech,3D Modeling & CAD,Product Mockups
Emergency Services,3D Modeling & CAD,Product Mockups
Emergency Services,3D Modeling & CAD,Product Mockups
Emerging Technologies,3D Modeling & CAD,Product Mockups
Energy Services,3D Modeling & CAD,Product Mockups
Event & Leisure,3D Modeling & CAD,Product Mockups
Events & Experiences,3D Modeling & CAD,Product Mockups
Events & Family,3D Modeling & CAD,Product Mockups
Home & Local,3D Modeling & CAD,Product Mockups
Home & Property Services,3D Modeling & CAD,Product Mockups
Home Services,3D Modeling & CAD,Product Mockups
Hyperlocal Services,3D Modeling & CAD,Product Mockups
Inclusive Needs,3D Modeling & CAD,Product Mockups
Inclusive Services,3D Modeling & CAD,Product Mockups
Media & Content,3D Modeling & CAD,Product Mockups
Media & Content,3D Modeling & CAD,Product Mockups
Moving & Transport,3D Modeling & CAD,Product Mockups
Other / Custom,3D Modeling & CAD,Product Mockups
Personal & Family,3D Modeling & CAD,Product Mockups
Personal Services,3D Modeling & CAD,Product Mockups
Personal Support & Lifestyle,3D Modeling & CAD,Product Mockups
Pet & Animal,3D Modeling & CAD,Product Mockups
